aw_deep_link,product_name,aw_product_id,merchant_product_id,merchant_image_url,description,merchant_category,search_price,merchant_name,merchant_id,category_name,category_id,aw_image_url,currency,store_price,delivery_cost,merchant_deep_link,language,last_updated,display_price,data_feed_id,brand_name,in_stock,large_image,alternate_image,alternate_image_two,alternate_image_four,alternate_image_three,gender_added,category_added
https://www.awin1.com/pclick.php?p=41493319572&a=2771700&m=116329,Vila Miraz Knit Skirt - Birch - L,41493319572,231504AWUS,https://www.dv8fashion.com/Images/Models/Full/33042.jpg,Look your best with this everyday style      Product Type: Knitted skirt     Length/Size: Midi length     Extra details: Back slit Product Code: P-80265-34--,Midi Skirts,46.95,DV8 Fashion (USA),116329,Women's Dresses & Skirts,198,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.dv8fashion.com%2FImages%2FModels%2FFull%2F33042.jpg&feedId=102894&k=f99f120c4d8c3548fccb662a2ec0237ffc661e97,USD,,12.95,https://www.dv8fashion.com/en/Vila-Miraz-Knit-Skirt---Birch/m-33042.aspx?PartnerID=4730&utm_source=awin&utm_medium=affiliate&utm_campaign=UnitedStatesUS,,,USD46.95,102894,DV8 Fashion,1,,https://www.dv8fashion.com/Images/Models/Full/33042-1.jpg,https://www.dv8fashion.com/Images/Models/Full/33042-2.jpg,,https://www.dv8fashion.com/Images/Models/Full/33042-3.jpg,Womens,Skirts
https://www.awin1.com/pclick.php?p=41493319624&a=2771700&m=116329,Saint Genies Mesh Midi Skirt - Purple / Orange - 6,41493319624,213653AWUS,https://www.dv8fashion.com/Images/Models/Full/31354.jpg,Stay on trend with Saint Genies&apos; latest launch...      Multi mesh midi skirt with purple and orange details     100% polyester lining     Make it a co-ord with the matching bandeau! Product Code: P-77529-23--,Midi Skirts,39.95,DV8 Fashion (USA),116329,Women's Dresses & Skirts,198,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.dv8fashion.com%2FImages%2FModels%2FFull%2F31354.jpg&feedId=102894&k=781b825f444e8db9ebec0ee6fe7471e5bb693492,USD,,12.95,https://www.dv8fashion.com/en/Saint-Genies-Mesh-Midi-Skirt---Purple--Orange/m-31354.aspx?PartnerID=4730&utm_source=awin&utm_medium=affiliate&utm_campaign=UnitedStatesUS,,,USD39.95,102894,DV8 Fashion,1,,https://www.dv8fashion.com/Images/Models/Full/31354-1.jpg,https://www.dv8fashion.com/Images/Models/Full/31354-2.jpg,,https://www.dv8fashion.com/Images/Models/Full/31354-3.jpg,Womens,Skirts
https://www.awin1.com/pclick.php?p=41493319541&a=2771700&m=116329,Veromoda Pinstripe Pencil Skirt - Navy - L,41493319541,234480AWUS,https://www.dv8fashion.com/Images/Models/Full/33325.jpg,"Are you looking for a knitted skirt? Look no further - this will undoubtedly be your favourite go-to item for the colder days when you want to stay warm, but stylish and feminine at the same time. Style this stunning knitted skirt with a pair of boots for an effortless modern look.&nbsp;      Product Type : Knitted skirt&nbsp;     Length/Size : This product is true to size&nbsp;     Extra details : Elasticated waist Product Code: P-80605-12--",Midi Skirts,51.95,DV8 Fashion (USA),116329,Women's Dresses & Skirts,198,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.dv8fashion.com%2FImages%2FModels%2FFull%2F33325.jpg&feedId=102894&k=5c598b4606c018a0880c98bbead676e3c0632bcf,USD,,12.95,https://www.dv8fashion.com/en/Veromoda-Pinstripe-Pencil-Skirt---Navy/m-33325.aspx?PartnerID=4730&utm_source=awin&utm_medium=affiliate&utm_campaign=UnitedStatesUS,,,USD51.95,102894,DV8 Fashion,1,,https://www.dv8fashion.com/Images/Models/Full/33325-1.jpg,https://www.dv8fashion.com/Images/Models/Full/33325-2.jpg,,https://www.dv8fashion.com/Images/Models/Full/33325-3.jpg,Womens,Skirts
https://www.awin1.com/pclick.php?p=41493319561&a=2771700&m=116329,Only Roslyn Long Faux Skirt - Black - S,41493319561,232239AWUS,https://www.dv8fashion.com/Images/Models/Full/33118.jpg,"Express your personal style in a cool skirt, perfect for work, going out, and exploring city life      Product Type: Skirt     Closing: Button and zip fastening     Pockets: Back pockets, Coin pocket, Front pocket     Waist: High waist     Length/Size: Long     Extra details: Front slit, Belt loops Product Code: P-80370-10--",Midi Skirts,58.95,DV8 Fashion (USA),116329,Women's Dresses & Skirts,198,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.dv8fashion.com%2FImages%2FModels%2FFull%2F33118.jpg&feedId=102894&k=d42987f04f46f7fb9549ff696451db373ffa1410,USD,,12.95,https://www.dv8fashion.com/en/Only-Roslyn-Long-Faux-Skirt---Black/m-33118.aspx?PartnerID=4730&utm_source=awin&utm_medium=affiliate&utm_campaign=UnitedStatesUS,,,USD58.95,102894,DV8 Fashion,1,,https://www.dv8fashion.com/Images/Models/Full/33118-1.jpg,https://www.dv8fashion.com/Images/Models/Full/33118-2.jpg,,https://www.dv8fashion.com/Images/Models/Full/33118-3.jpg,Womens,Skirts
https://www.awin1.com/pclick.php?p=41493319574&a=2771700&m=116329,Vila Miraz Knit Skirt - Birch - S,41493319574,231506AWUS,https://www.dv8fashion.com/Images/Models/Full/33042.jpg,Look your best with this everyday style      Product Type: Knitted skirt     Length/Size: Midi length     Extra details: Back slit Product Code: P-80265-34--,Midi Skirts,46.95,DV8 Fashion (USA),116329,Women's Dresses & Skirts,198,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.dv8fashion.com%2FImages%2FModels%2FFull%2F33042.jpg&feedId=102894&k=f99f120c4d8c3548fccb662a2ec0237ffc661e97,USD,,12.95,https://www.dv8fashion.com/en/Vila-Miraz-Knit-Skirt---Birch/m-33042.aspx?PartnerID=4730&utm_source=awin&utm_medium=affiliate&utm_campaign=UnitedStatesUS,,,USD46.95,102894,DV8 Fashion,1,,https://www.dv8fashion.com/Images/Models/Full/33042-1.jpg,https://www.dv8fashion.com/Images/Models/Full/33042-2.jpg,,https://www.dv8fashion.com/Images/Models/Full/33042-3.jpg,Womens,Skirts
https://www.awin1.com/pclick.php?p=41493319641&a=2771700&m=116329,Saint Genies Mesh Tull Layered Midi Skirt - Cream - 14,41493319641,210706AWUS,https://www.dv8fashion.com/Images/Models/Full/31075.jpg,Update your look with the perfect wardrobe musthave...      Midi length     Tull mesh layered fabric     Elastic waistband     Quality lining Product Code: P-76770-26--,Midi Skirts,51.95,DV8 Fashion (USA),116329,Women's Dresses & Skirts,198,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.dv8fashion.com%2FImages%2FModels%2FFull%2F31075.jpg&feedId=102894&k=04265ae08f27ba734c9e3d65c460b6bd416051c8,USD,,12.95,https://www.dv8fashion.com/en/Saint-Genies-Mesh-Tull-Layered-Midi-Skirt---Cream/m-31075.aspx?PartnerID=4730&utm_source=awin&utm_medium=affiliate&utm_campaign=UnitedStatesUS,,,USD51.95,102894,DV8 Fashion,1,,https://www.dv8fashion.com/Images/Models/Full/31075-1.jpg,https://www.dv8fashion.com/Images/Models/Full/31075-2.jpg,,https://www.dv8fashion.com/Images/Models/Full/31075-3.jpg,Womens,Skirts
https://www.awin1.com/pclick.php?p=41493319623&a=2771700&m=116329,Saint Genies Mesh Midi Skirt - Purple / Orange - 14,41493319623,213649AWUS,https://www.dv8fashion.com/Images/Models/Full/31354.jpg,Stay on trend with Saint Genies&apos; latest launch...      Multi mesh midi skirt with purple and orange details     100% polyester lining     Make it a co-ord with the matching bandeau! Product Code: P-77529-23--,Midi Skirts,39.95,DV8 Fashion (USA),116329,Women's Dresses & Skirts,198,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.dv8fashion.com%2FImages%2FModels%2FFull%2F31354.jpg&feedId=102894&k=781b825f444e8db9ebec0ee6fe7471e5bb693492,USD,,12.95,https://www.dv8fashion.com/en/Saint-Genies-Mesh-Midi-Skirt---Purple--Orange/m-31354.aspx?PartnerID=4730&utm_source=awin&utm_medium=affiliate&utm_campaign=UnitedStatesUS,,,USD39.95,102894,DV8 Fashion,1,,https://www.dv8fashion.com/Images/Models/Full/31354-1.jpg,https://www.dv8fashion.com/Images/Models/Full/31354-2.jpg,,https://www.dv8fashion.com/Images/Models/Full/31354-3.jpg,Womens,Skirts
https://www.awin1.com/pclick.php?p=41493319542&a=2771700&m=116329,Veromoda Pinstripe Pencil Skirt - Navy - M,41493319542,234481AWUS,https://www.dv8fashion.com/Images/Models/Full/33325.jpg,"Are you looking for a knitted skirt? Look no further - this will undoubtedly be your favourite go-to item for the colder days when you want to stay warm, but stylish and feminine at the same time. Style this stunning knitted skirt with a pair of boots for an effortless modern look.&nbsp;      Product Type : Knitted skirt&nbsp;     Length/Size : This product is true to size&nbsp;     Extra details : Elasticated waist Product Code: P-80605-12--",Midi Skirts,51.95,DV8 Fashion (USA),116329,Women's Dresses & Skirts,198,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.dv8fashion.com%2FImages%2FModels%2FFull%2F33325.jpg&feedId=102894&k=5c598b4606c018a0880c98bbead676e3c0632bcf,USD,,12.95,https://www.dv8fashion.com/en/Veromoda-Pinstripe-Pencil-Skirt---Navy/m-33325.aspx?PartnerID=4730&utm_source=awin&utm_medium=affiliate&utm_campaign=UnitedStatesUS,,,USD51.95,102894,DV8 Fashion,1,,https://www.dv8fashion.com/Images/Models/Full/33325-1.jpg,https://www.dv8fashion.com/Images/Models/Full/33325-2.jpg,,https://www.dv8fashion.com/Images/Models/Full/33325-3.jpg,Womens,Skirts
https://www.awin1.com/pclick.php?p=41493319573&a=2771700&m=116329,Vila Miraz Knit Skirt - Birch - M,41493319573,231505AWUS,https://www.dv8fashion.com/Images/Models/Full/33042.jpg,Look your best with this everyday style      Product Type: Knitted skirt     Length/Size: Midi length     Extra details: Back slit Product Code: P-80265-34--,Midi Skirts,46.95,DV8 Fashion (USA),116329,Women's Dresses & Skirts,198,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.dv8fashion.com%2FImages%2FModels%2FFull%2F33042.jpg&feedId=102894&k=f99f120c4d8c3548fccb662a2ec0237ffc661e97,USD,,12.95,https://www.dv8fashion.com/en/Vila-Miraz-Knit-Skirt---Birch/m-33042.aspx?PartnerID=4730&utm_source=awin&utm_medium=affiliate&utm_campaign=UnitedStatesUS,,,USD46.95,102894,DV8 Fashion,1,,https://www.dv8fashion.com/Images/Models/Full/33042-1.jpg,https://www.dv8fashion.com/Images/Models/Full/33042-2.jpg,,https://www.dv8fashion.com/Images/Models/Full/33042-3.jpg,Womens,Skirts
https://www.awin1.com/pclick.php?p=41493319577&a=2771700&m=116329,Vila Pleated Midi Skirt - Snow White - 10,41493319577,214270AWUS,https://www.dv8fashion.com/Images/Models/Full/31437.jpg,Midi pleat skirt     Button up fastening     High waist     Regular fit Product Code: P-77620-11--,Midi Skirts,69.95,DV8 Fashion (USA),116329,Women's Dresses & Skirts,198,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.dv8fashion.com%2FImages%2FModels%2FFull%2F31437.jpg&feedId=102894&k=343fe68295e18a4d72116c2f21f63a54ff0fe859,USD,,12.95,https://www.dv8fashion.com/en/Vila-Pleated-Midi-Skirt---Snow-White/m-31437.aspx?PartnerID=4730&utm_source=awin&utm_medium=affiliate&utm_campaign=UnitedStatesUS,,,USD69.95,102894,DV8 Fashion,1,,https://www.dv8fashion.com/Images/Models/Full/31437-1.jpg,https://www.dv8fashion.com/Images/Models/Full/31437-2.jpg,,https://www.dv8fashion.com/Images/Models/Full/31437-3.jpg,Womens,Skirts
